date,Germany,Italy,US,United Kingdom
2020-01-22,0,0,1,0
2020-01-23,0,0,1,0
2020-01-24,0,0,2,0
2020-01-25,0,0,2,0
2020-01-26,0,0,5,0
2020-01-27,1,0,5,0
2020-01-28,4,0,5,0
2020-01-29,4,0,6,0
2020-01-30,4,0,6,0
2020-01-31,5,2,8,2
2020-02-01,8,2,8,2
2020-02-02,10,2,8,2
2020-02-03,12,2,11,8
2020-02-04,12,2,11,8
2020-02-05,12,2,11,9
2020-02-06,12,2,12,9
2020-02-07,13,3,12,9
2020-02-08,13,3,12,13
2020-02-09,14,3,12,14
2020-02-10,14,3,12,14
2020-02-11,16,3,13,15
2020-02-12,16,3,13,16
2020-02-13,16,3,14,17
2020-02-14,16,3,14,18
2020-02-15,16,3,14,18
2020-02-16,16,3,14,18
2020-02-17,16,3,14,19
2020-02-18,16,3,14,19
2020-02-19,16,3,14,20
2020-02-20,16,3,14,22
2020-02-21,16,20,16,23
2020-02-22,16,62,16,23
2020-02-23,16,155,16,28
2020-02-24,16,229,16,30
2020-02-25,17,322,16,34
2020-02-26,27,453,16,37
2020-02-27,46,655,17,44
2020-02-28,48,888,17,56
2020-02-29,79,1128,25,61
2020-03-01,130,1694,32,94
2020-03-02,159,2036,55,134
2020-03-03,196,2502,74,189
2020-03-04,262,3089,107,245
2020-03-05,482,3858,184,294
2020-03-06,670,4636,237,373
2020-03-07,799,5883,403,428
2020-03-08,1040,7375,519,482
2020-03-09,1176,9172,594,629
2020-03-10,1457,10149,782,887
2020-03-11,1908,12462,1147,1298
2020-03-12,2078,15113,1586,1787
2020-03-13,3675,17660,2219,2266
2020-03-14,4585,21157,2978,2630
2020-03-15,5795,24747,3212,3072
2020-03-16,7272,27980,4679,3684
2020-03-17,9257,31506,6512,4452
2020-03-18,12327,35713,9169,5451
2020-03-19,15320,41035,13663,6506
2020-03-20,19848,47021,20030,7760
2020-03-21,22213,53578,26025,8957
2020-03-22,24873,59138,34898,10333
2020-03-23,29056,63927,46136,12668
2020-03-24,32986,69176,56755,15039
2020-03-25,37323,74386,68837,17732
2020-03-26,43938,80589,86693,20816
2020-03-27,50871,86498,105383,24017
2020-03-28,57695,92472,125013,26839
2020-03-29,62095,97689,143912,29696
2020-03-30,66885,101739,165987,33969
2020-03-31,71808,105792,192301,38484
2020-04-01,77872,110574,224587,43398
2020-04-02,84794,115242,256809,48263
2020-04-03,91159,119827,289116,53178
2020-04-04,96092,124632,321502,57198
2020-04-05,100123,128948,351397,60792
2020-04-06,103374,132547,382787,66067
2020-04-07,107663,135586,413566,71517
2020-04-08,113296,139422,444801,76646
2020-04-09,118181,143626,480743,81498
2020-04-10,122171,147577,515146,85813
2020-04-11,124908,152271,544229,89390
2020-04-12,127854,156363,571485,92885
2020-04-13,130072,159516,598424,97068
2020-04-14,131359,162488,627242,101393
2020-04-15,134753,165155,652650,106458
2020-04-16,137698,168941,682652,111756
2020-04-17,141397,172434,715718,116721
2020-04-18,143342,175925,743625,121437
2020-04-19,145184,178972,769687,125289
2020-04-20,147065,181228,799507,130147
2020-04-21,148291,183957,825433,134907
2020-04-22,150648,187327,854344,140397
2020-04-23,153129,189973,887956,145540
2020-04-24,154999,192994,920283,150513
2020-04-25,156513,195351,950663,154261
2020-04-26,157770,197675,977151,157729
2020-04-27,158758,199414,1000866,162431
2020-04-28,159912,201505,1025441,167152
2020-04-29,161539,203591,1051900,172587
2020-04-30,163009,205463,1081105,177543
2020-05-01,164077,207428,1116012,182270
2020-05-02,164967,209328,1143360,185491
2020-05-03,165664,210717,1167681,188465
2020-05-04,166152,211938,1191749,191843
2020-05-05,167007,213013,1216277,195527
2020-05-06,168162,214457,1240846,199358
2020-05-07,169430,215858,1268275,203125
2020-05-08,170588,217185,1295105,206174
2020-05-09,171324,218268,1320281,208324
2020-05-10,171879,219070,1339086,210645
2020-05-11,172576,219814,1358384,214228
2020-05-12,173171,221216,1381311,217617
2020-05-13,174098,222104,1401744,220915
2020-05-14,174478,223096,1428561,223524
2020-05-15,175233,223885,1453294,226041
2020-05-16,175752,224760,1477429,228106
2020-05-17,176369,225435,1495817,229932
2020-05-18,176551,225886,1518206,232506
2020-05-19,177778,226699,1539185,235547
2020-05-20,178473,227364,1561910,238253
2020-05-21,179021,228006,1587679,240795
2020-05-22,179710,228658,1611328,242825
2020-05-23,179986,229327,1632427,244332
2020-05-24,180328,229858,1652504,245680
2020-05-25,180600,230158,1671166,247287
2020-05-26,181200,230555,1690829,248937
2020-05-27,181524,231139,1709380,250739
2020-05-28,182196,231732,1731700,252473
2020-05-29,182922,232248,1756178,253977
2020-05-30,183189,232664,1779810,255076
2020-05-31,183410,232997,1798793,256145
2020-06-01,183594,233197,1816207,257579
2020-06-02,183879,233515,1837709,259046
2020-06-03,184121,233836,1857566,260388
2020-06-04,184472,234013,1879224,261622
2020-06-05,184924,234531,1904627,262727
2020-06-06,185450,234801,1925769,263518
2020-06-07,185750,234998,1943697,264235
2020-06-08,186109,235278,1961313,265321
2020-06-09,186506,235561,1979696,266474
2020-06-10,186522,235763,2000807,267656
2020-06-11,186691,236142,2023973,268657
2020-06-12,187226,236305,2048801,269710
2020-06-13,187267,236651,2074013,270597
2020-06-14,187518,236989,2092954,271404
2020-06-15,187682,237290,2112781,272430
2020-06-16,188252,237500,2136448,273507
2020-06-17,188604,237828,2163520,274504
2020-06-18,189817,238159,2192057,275524
2020-06-19,190299,238011,2223601,276504
2020-06-20,190670,238275,2255881,277170
2020-06-21,191272,238499,2281031,277792
2020-06-22,191768,238720,2313175,278684
2020-06-23,192480,238833,2350247,279566
2020-06-24,192871,239410,2386125,280340
2020-06-25,193371,239706,2426451,281037
2020-06-26,194036,239961,2472450,281675
2020-06-27,194458,240136,2513780,282308
2020-06-28,194693,240310,2554514,282703
2020-06-29,195042,240436,2595813,283307
2020-06-30,195418,240578,2642233,283710
2020-07-01,195893,240760,2694053,283770
2020-07-02,196370,240961,2750689,283774
2020-07-03,196780,241184,2802040,284276
2020-07-04,197198,241419,2847733,284900
2020-07-05,197523,241611,2898480,285416
2020-07-06,198064,241819,2941586,285768
2020-07-07,198343,241956,3002247,286349
2020-07-08,198699,242149,3062366,286979
2020-07-09,199001,242363,3124875,287621
2020-07-10,199332,242639,3192932,288133
2020-07-11,199709,242827,3252949,288953
2020-07-12,199919,243061,3311373,289603
2020-07-13,200180,243230,3370303,290133
2020-07-14,200456,243344,3438354,291373
2020-07-15,200890,243506,3506444,291911
2020-07-16,201450,243736,3582310,292552
2020-07-17,202045,243967,3654546,293239
2020-07-18,202426,244216,3717082,294066
2020-07-19,202735,244434,3777538,294792
2020-07-20,203325,244624,3839645,295372
2020-07-21,203717,244752,3904106,295817
